CVE_CLPV,CVE_DOC,CVE_VEND,FECHA_ENT,CAN_TOT
      5485,F29502,3.0,2019-09-13 00:00:00,252.15600000000003
      6838,F29503,2.0,2019-09-13 00:00:00,1025.45
      2357,F29504,2.0,2019-09-13 00:00:00,2989.0400000000004
      6211,F29505,2.0,2019-09-13 00:00:00,315.0
      6547,F29506,2.0,2019-09-13 00:00:00,466.8272
      2385,F29507,4.0,2019-09-13 00:00:00,1764.0956
      3686,F29508,2.0,2019-09-13 00:00:00,2730.7300000000005
      5205,F29509,1.0,2019-09-13 00:00:00,83873.0
      6826,F29510,2.0,2019-09-13 00:00:00,679.82
      5926,F29511,2.0,2019-09-17 00:00:00,783.1500000000001
      6839,F29512,2.0,2019-09-17 00:00:00,25075.600000000002
      6757,F29513,2.0,2019-09-17 00:00:00,112733.70000000001
      6211,F29514,2.0,2019-09-17 00:00:00,305.52000000000004
      6805,F29515,2.0,2019-09-17 00:00:00,144.0
      5165,F29516,1.0,2019-09-17 00:00:00,7700.000000000001
      5458,F29517,2.0,2019-09-17 00:00:00,252.16000000000003
      3926,F29518,1.0,2019-09-17 00:00:00,1550.0000000000002
      5926,,2.0,2019-09-17 00:00:00,595.0200000000001
      2740,F29520,2.0,2019-09-17 00:00:00,1682.0000000000002
      5926,F29521,2.0,2019-09-17 00:00:00,1496.46
      5926,F29522,2.0,2019-09-17 00:00:00,1227.6100000000001
      3341,F29523,2.0,2019-09-17 00:00:00,226.8272
      5926,F29524,2.0,2019-09-17 00:00:00,2594.8272
      5926,F29525,2.0,2019-09-10 00:00:00,227.60000000000002
      6369,F29526,2.0,2019-09-18 00:00:00,4023.5000000000005
      5598,F29527,2.0,2019-09-18 00:00:00,3000.0000000000005
      1125,F29528,,2019-09-18 00:00:00,2697.0
      6760,F29529,2.0,2019-09-18 00:00:00,1228.5
      1125,F29530,2.0,2019-09-18 00:00:00,2697.0
      5926,F29531,2.0,2019-09-18 00:00:00,1215.5400000000002
      4029,F29532,2.0,2019-09-06 00:00:00,7784.4800000000005
        43,F29533,1.0,2019-09-18 00:00:00,17230.0
